10
-34.880130,-85.203924,-7.290597,-0.000000,92.494522,147.410481
-34.880130,-84.594832,15.096955,-0.000000,69.497878,147.410481
-48.354293,-77.392795,9.689829,16.001139,73.478549,127.303210
-40.568021,-91.492943,24.658042,11.729722,56.619364,133.895996
-33.944346,-98.541061,34.250651,7.334617,43.075290,140.237622
-35.484469,-98.062770,37.605996,16.540174,35.581018,131.278449
-43.445501,-92.503434,35.453110,37.794100,37.630642,110.552301
-49.567287,-77.606397,21.282311,44.484489,52.195808,107.803355
-47.593322,-75.489417,18.638708,44.358295,51.416821,109.781624
-47.593322,-81.396429,1.619257,35.821941,69.133970,126.672511
